step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.005966569297015667,0.5806313753128052,0.01749906688928604,0.01749906688928604,,,,
2,,,,,0.005022644530981779,0.5802546739578247,0.01701768860220909,0.01701768860220909,,,,
3,,,,,0.00412971805781126,0.5764139890670776,0.016475209966301918,0.016475209966301918,,,,
4,,,,,0.003464632434770465,0.5683690905570984,0.015941545367240906,0.015941545367240906,,,,
5,,,,,0.0030243019573390484,0.5421740412712097,0.01506650261580944,0.01506650261580944,,,,
6,,,,,0.0030925911851227283,0.48591333627700806,0.013694128021597862,0.013694128021597862,,,,
7,,,,,0.0030095900874584913,0.41236311197280884,0.011813873425126076,0.011813873425126076,,,,
8,,,,,0.0028308958280831575,0.35137954354286194,0.010199937038123608,0.010199937038123608,,,,
9,,,,,0.002740053925663233,0.2890992760658264,0.008597509004175663,0.008597509004175663,,,,
10,0.0024809888564050198,0.2482207715511322,0.0074460143223404884,0.0074460143223404884,0.0026016186457127333,0.23615971207618713,0.0072048017755150795,0.0072048017755150795,96.9059405940594,97.5,7.510592533991887,6.491286568019701
11,,,,,0.0023391363210976124,0.2024075984954834,0.006229758728295565,0.006229758728295565,,,,
12,,,,,0.002211149549111724,0.17549335956573486,0.005492909345775843,0.005492909345775843,,,,
13,,,,,0.001987969968467951,0.1508539915084839,0.004765335004776716,0.004765335004776716,,,,
14,,,,,0.0019005188951268792,0.14515823125839233,0.004579215310513973,0.004579215310513973,,,,
15,,,,,0.0017486180877313018,0.12624987959861755,0.004030556418001652,0.004030556418001652,,,,
16,,,,,0.0017133811488747597,0.1183631420135498,0.003815769450739026,0.003815769450739026,,,,
17,,,,,0.0016185545828193426,0.11653586477041245,0.0037226739805191755,0.0037226739805191755,,,,
18,,,,,0.001562122837640345,0.11472441256046295,0.003649171907454729,0.003649171907454729,,,,
19,,,,,0.0015223242808133364,0.1076732724905014,0.0034529943950474262,0.0034529943950474262,,,,
20,0.0016889309044927359,0.17294751107692719,0.0051681529730558395,0.0051681529730558395,0.0014723273925483227,0.10104793310165405,0.003262361977249384,0.003262361977249384,100.0,100.0,5.896032480093149,6.110711415608724
21,,,,,0.0013791059609502554,0.0941084697842598,0.0030422648414969444,0.0030422648414969444,,,,
22,,,,,0.00134648522362113,0.0898728147149086,0.0029200627468526363,0.0029200627468526363,,,,
23,,,,,0.0012784998398274183,0.08613058179616928,0.002792514394968748,0.002792514394968748,,,,
24,,,,,0.0012351402547210455,0.08731316030025482,0.0028003989718854427,0.0028003989718854427,,,,
25,,,,,0.0012676954502239823,0.08941617608070374,0.0028692521154880524,0.0028692521154880524,,,,
26,,,,,0.0012065056944265962,0.08634281158447266,0.0027618231251835823,0.0027618231251835823,,,,
27,,,,,0.0012004749150946736,0.08102725446224213,0.0026259191799908876,0.0026259191799908876,,,,
